OBJECTID;DFIRM_ID;FLD_AR_ID;DUAL_ZONE;SOURCE_CIT;ShapeSTArea;ShapeSTLength
2025;06037C;06037C_2726;F;06037C_STUDY10;2.82100245385664e-07;0.00216111527693388
2026;06037C;06037C_2727;F;06037C_STUDY10;3.87957925340743e-07;0.00256791028772863
2027;06037C;06037C_2728;F;06037C_STUDY10;8.30230192150339e-07;0.00412979982753265
2028;06037C;06037C_2729;F;06037C_STUDY10;4.76282139061368e-07;0.00268920167431688
2029;06037C;06037C_2730;F;06037C_STUDY10;1.72326508618426e-07;0.00159244706685551
2030;06037C;06037C_2731;F;06037C_STUDY10;5.10191284774919e-07;0.0032241253173135
2031;06037C;06037C_2790;F;06037C_STUDY10;3.11043322653859e-07;0.00717959558121406
2032;06037C;06037C_2791;F;06037C_STUDY10;6.72715259497636e-07;0.00361541844835007
2033;06037C;06037C_2792;F;06037C_STUDY10;3.91157755075255e-07;0.00332155679278543
2054;06037C;06037C_3161;F;06037C_STUDY10;6.61734225104738e-06;0.0532204022521631
2055;06037C;06037C_3162;F;06037C_STUDY10;3.1756394491822e-07;0.00224924155689135
2056;06037C;06037C_3163;F;06037C_STUDY10;2.80397671303945e-07;0.00260153980422254
2057;06037C;06037C_3164;F;06037C_STUDY10;5.52946175957914e-07;0.00300278342958414
2058;06037C;06037C_3165;F;06037C_STUDY10;4.33842387792538e-07;0.0026216006752889
2059;06037C;06037C_3166;F;06037C_STUDY10;4.24091012973804e-07;0.00328599141845737
2070;06037C;06037C_3392;F;06037C_STUDY10;2.20787796934019e-07;0.00472334911795247
2072;06037C;06037C_3463;F;06037C_STUDY10;6.09886910751811e-07;0.00327709373470639
2073;06037C;06037C_3464;F;06037C_STUDY10;9.62758576861233e-07;0.00443200695246025
2074;06037C;06037C_3465;F;06037C_STUDY10;9.01202611203189e-07;0.00416898183103777
2075;06037C;06037C_3466;F;06037C_STUDY10;3.32401441482943e-07;0.00232515531800143
2076;06037C;06037C_3524;F;06037C_STUDY10;2.91217475023586e-07;0.00367456146169542
2077;06037C;06037C_3525;F;06037C_STUDY10;5.76187630940694e-07;0.00445045184067705
2078;06037C;06037C_3526;F;06037C_STUDY10;2.03130412046448e-07;0.00189181358616325
2079;06037C;06037C_3527;F;06037C_STUDY10;2.95015752271865e-07;0.00259665371782549
2080;06037C;06037C_3528;F;06037C_STUDY10;4.81948291053413e-07;0.00293459837191244
2090;06037C;06037C_3766;F;06037C_STUDY10;9.8703662843036e-07;0.00591275832463128
2091;06037C;06037C_3767;F;06037C_STUDY10;1.26592567539774e-08;0.000621045105821986
