OBJECTID;X;Y;org_name;Name;addrln1;city;post_id;description;zip;latitude;longitude;POINT_X;POINT_Y
157191632;-118.366850056193258;33.989118966692523;www.crystalstairs.org/;Crystal Stairs;5110 W. Goldleaf Circle;Los Angeles;2058;This agency provides child care information and referral, early childhood education, health insurance and technical assistance.;90056;33.989119;-118.36685;6450463.41588189;1818623.46506381
157191634;-118.267688055994924;34.070515967199903;NULL;Burlington Day Care Inc;420 N. Alvarado St.;Los Angeles;2060;The agency provides child care for children ages 1 to 5 who live in the Los Angeles County area.;90026;34.070516;-118.267688;6480602.18696906;1848150.46900181
157191636;-118.272747055638604;33.773714967073552;www.ccdlb.org;Comprehensive Child Development - New Harbor Vista Child Development Center;909 W. D St.;Wilmington;2061;The center provides child care and a State Preschool for income-eligible families.;90744;33.773715;-118.272747;6478777.01411022;1740142.25719714
157191638;-118.293202055448063;33.741383967278352;www.ccdlb.org;Comprehensive Child Development - Third Street Child Development Center;739 W. 3rd St.;San Pedro;2062;The center provides child care and a State Preschool for income-eligible families.;90731;33.741384;-118.293202;6472526.02300331;1728393.60713807
157191641;-118.349480055718814;34.013979966673354;www.childrenscollective.org;Children's Collective Inc - Mcalister High School Infant - Toddler Center;4525 Pinafore St.;Los Angeles;2069;The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.;90008;34.01398;-118.34948;6455760.39216456;1827652.07528739
157191653;-118.290247056487217;33.961119966999917;www.childrenscollective.org;Children's Collective Inc - Rita Walters Child Care Center;932 W. 85th St.;Los Angeles;2080;The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.;90044;33.96112;-118.290247;6473655.35539031;1808358.17982015
157191660;-118.287254056401437;33.990202966706903;www.childrenscollective.org;Children's Collective Inc - Hoover Street Childcare Center;5701 S. Hoover St.;Los Angeles;2088;The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.;90037;33.990203;-118.287254;6474593.20095555;1818939.44704339
157191687;-118.302988056025853;34.030270966716493;LA City Department Recreation and Parks;Loren Miller Recreation Center;2717 Halldale Ave.;Los Angeles;;;;;;;
157191715;-118.320520055962476;34.003814967045962;www.ywcagla.org;Ywca Of Greater Los Angeles - Angeles Mesa;2501 W. Vernon Ave.;Los Angeles;2151;The program provides adult education, child care, recreation programs and youth services for people of all ages who live in the South Central Los Angeles area.;90008;34.003815;-118.32052;6464524.8953048;1823923.59521157
157191731;-118.455821055832061;34.006309967181913;LA City Department Recreation and Parks;Penmar Recreation Center;1341 Lake St.;Venice;;;;;;;
157191900;-118.204483056860468;34.039139966872369;LA City Department Recreation and Parks;Evergreen Recreation Center;2844 E. 2nd St.;Los Angeles;;;;;;;
157191902;-118.186352056085042;34.142467966520819;LA City Department Recreation and Parks;Eagle Rock Recreation Center;1100 Eagle Vista Dr.;Los Angeles;;;;;;;
157191937;-117.720738957198975;34.061449567012133;www.pomonaymca.org;YMCA Pomona Valley;1460 E Holt Ave;Pomona;2673;The agency provides child care, and recreational programs for people who live, primarily, in the Pomona Valley.;91767;34.0614496;-117.7207389;6646252.4905103;1844860.58877055
157191946;-118.248847056266044;34.04237596718685;NULL;Las Familias Del Pueblo;307 E. 7th St.;Los Angeles;2679;This is a community center that provides child care and legal services for families who live and work in the Central City area of Los Angeles which is bounded by Alameda St.;90014;34.042376;-118.248847;6486282.73728772;1837895.14863323
157191947;-118.270380756823343;34.068954376549208;www.laparks.org/dos.htm;Lake Street Community Center;227 N Lake St;Los Angeles;2681;The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.;90057;34.06895441;-118.2703807;6479785.18761881;1847584.36088206
157191958;-118.57123305599012;34.222787965977716;LA City Department Recreation and Parks;Winnetka Recreation Center;8401 Winnetka Ave.;Winnetka;2690;The department provides recreational programs through operation and maintenance of Los Angeles City parks, playgrounds, swimming pools, golf courses and recreation centers.;91306;34.222788;-118.571233;6388990.55031081;1903947.76587155
