OBJECTID;X;Y;cat1;cat2;cat3;org_name;Name;addrln1;addrln2;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157255099;-117.846440057627944;34.113519967469685;Education;Public High Schools;;Charter Oak Unified;Bridges Community Day;1505 South Sunflower Ave;;Glendora;77227;91740;34.11352;-117.84644;6608151.43088581;1863727.99952647
157255106;-117.716020057218813;34.083229967007341;Education;Public High Schools;;Claremont Unified;San Antonio High School (Continuation);125 West San Jose Avenue;;Claremont;77234;91711;34.08323;-117.71602;6647659.3459643;1852790.86556089
157255107;-117.720420057717973;34.112819967622166;Education;Public High Schools;;Claremont Unified;Claremont High School;1601 North Indian Hill Boulevard;;Claremont;77235;91711;34.11282;-117.72042;6646297.07933189;1863555.44540964
157255109;-117.716020057218813;34.083229967007341;Education;Public High Schools;;Claremont Unified;Community Day;125 West San Jose Avenue;;Claremont;77237;91711;34.08323;-117.71602;6647659.3459643;1852790.86556089
157255120;-117.904560056797848;34.101189966680565;Education;Public High Schools;;Covina-Valley Unified;Fairvalley High School (Continuation);758 W Grondhal;;Covina;77248;91722;34.10119;-117.90456;6590563.34565522;1859219.09351806
157255121;-117.900090056883698;34.080909967390511;Education;Public High Schools;;Covina-Valley Unified;Covina High School;463 South Hollenbeck Avenue;;Covina;77249;91723;34.08091;-117.90009;6591923.90625431;1851840.13813165
157255122;-117.90984005699508;34.095669967198546;Education;Public High Schools;;Covina-Valley Unified;Northview High School;1016 West Cypress Avenue;;Covina;77250;91722;34.09567;-117.90984;6588966.70777239;1857208.78717123
157255123;-117.883700057612998;34.062279967026541;Education;Public High Schools;;Covina-Valley Unified;South Hills High School;645 South Barranca Street;;West Covina;77251;91723;34.06228;-117.8837;6596894.77688996;1845065.66710056
157255138;-118.400300055454494;34.005379967055283;Education;Public High Schools;;Culver City Unified;Culver City Unified School District iAcademy;4601 Elenda Street, CP Annex;;Culver City;77266;90230;34.00538;-118.4003;6440347.00041921;1824579.82487023
157255140;-118.402770055957234;34.008079967246609;Education;Public High Schools;;Culver City Unified;Culver City High School;4401 Elenda Street;;Culver City;77268;90230;34.00808;-118.40277;6439602.33130489;1825565.3924529
157255141;-118.400300055454494;34.005379967055283;Education;Public High Schools;;Culver City Unified;Culver Park High School;4601 Elenda Street;;Culver City;77269;90230;34.00538;-118.4003;6440347.00041921;1824579.82487023
