OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157244420;-118.034682056273738;34.066596966851101;City Of El Monte Parks, Recreation, And Community Services Department - El Monte Aquatic Center;11001  Mildred St.;El Monte;58369;91731;34.066597;-118.034682;6551166.53206055;1846618.13840505
157245768;-118.131417056011074;33.753213967478132;City Of Long Beach Department Of Parks, Recreation And Marine - Leeway Sailing And Aquatics Center;5437 E. Ocean Blvd.;Long Beach;;;;;;
157245772;-118.195071056424183;33.763208967208243;City Of Long Beach Department Of Parks, Recreation And Marine - Shoreline Aquatic Park;Aquarium Way;Long Beach;59512;90802;33.763209;-118.195071;6502376.86323589;1736263.89356281
157245773;-118.178328656032335;33.791474317082233;City Of Long Beach Department Of Parks, Recreation And Marine - Martin Luther King Jr. Park Pool;1910 Lemon Ave;Long Beach;59513;90806;33.79147435;-118.1783286;6507484.10006864;1746540.98947839
157248960;-118.386681732365105;33.888978092913035;Begg Pool;1402 Peck Ave;Manhattan Beach;65458;90266;33.88897813;-118.38668168;6444311.47674222;1782202.78331214
157249711;-118.244567569540365;33.904698104917081;Gonzalez Park Aquatics Center;1101 W. Cressy St.;Compton;69296;90222;33.90469814;-118.24456751;6487457.28972864;1787788.21505465
157253053;-118.603537721269788;34.216018714558373;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Lanark Pool;21817 Strathern St;Canoga Park;;;;;;
157253086;-118.314497513325662;34.126287341292453;Hollywoodland Girls Camp;;;24295;;34.12628738;-118.31449746;6466489.69190013;1868487.67209373
157253089;-118.407521885575306;34.044875316032339;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Cheviot Hills Pool;2693 Motor Ave.;Los Angeles;1959;90064;34.04487535;-118.40752183;6438216.48433906;1838961.64814064
157253093;-118.223999781903856;34.071645930016402;Downey Pool;1775 N. Spring St.;Los Angeles;1941;90031;34.07164596;-118.22399973;6493833.88229039;1848529.32388714
157253126;-118.401352806341592;34.192803371435353;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Valley Plaza Pool;6715 Laurelgrove Ave;North Hollywood;1980;91606;34.19280341;-118.40135275;6440300.27183814;1892787.4745439
157253129;-118.31809167310837;33.990667709302748;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Van Ness Pool;5720 2nd Ave.;Los Angeles;1977;90043;33.99066774;-118.31809162;6465245.76328564;1819136.72355172
157253192;-118.288685956471838;34.02417946653393;McDonalds Olympic Swim Stadium;;;22967;;34.0241795;-118.2886859;6474194.65221196;1831305.37933248
