OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
2016;27558173;27558173;0.005;1,81E+13;390;39004;3879;Lake/Pond: Hydrographic Category = Perennial;Perennial;48707.9479052566;1184.08348863841;Yes
1810;27928836;27928836;0.01; ;361;36100;3673;Playa; ;103367.183773505;1187.91938240521;Yes
1341;27687804;27687804;0.006;1,81E+13;390;39004;3204;Lake/Pond: Hydrographic Category = Perennial;Perennial;66202.6488815312;1193.37360984426;Yes
1370;27688414;27688414;0.004;1,81E+13;390;39004;3233;Lake/Pond: Hydrographic Category = Perennial;Perennial;45079.887644692;1194.32579797368;Yes
1542;27108535;27108535;0.004;1,81E+13;390;39004;3405;Lake/Pond: Hydrographic Category = Perennial;Perennial;47908.8764668037;1195.44901904401;Yes
1122;27693178;27693178;0.005;1,81E+13;390;39004;2985;Lake/Pond: Hydrographic Category = Perennial;Perennial;56718.9103704246;1196.09689260993;Yes
1247;27828544;27828544;0.007;1,81E+13;390;39001;3110;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;78920.7274718891;1200.96871469721;Yes
1577;27111511;27111511;0.008;1,81E+13;390;39004;3440;Lake/Pond: Hydrographic Category = Perennial;Perennial;83550.4536170971;1201.08222644685;Yes
1558;27916234;27916234;0.007;1,81E+13;390;39004;3421;Lake/Pond: Hydrographic Category = Perennial;Perennial;78731.4255123636;1207.57738985366;Yes
1403;27693202;27693202;0.006;1,81E+13;390;39004;3266;Lake/Pond: Hydrographic Category = Perennial;Perennial;67059.446243466;1209.56553230394;Yes
1442;27561927;27561927;0.009;1,81E+13;390;39004;3305;Lake/Pond: Hydrographic Category = Perennial;Perennial;94709.5630648267;1211.13185368813;Yes
1298;27689958;27689958;0.008;1,81E+13;436;43624;3161;Reservoir;;;;
2004;27937472;27937472;0.006;1,81E+13;390;39004;3867;Lake/Pond: Hydrographic Category = Perennial;Perennial;66416.0482400233;1215.60727180142;Yes
1997;27916776;27916776;0.008;1,81E+13;390;39004;3860;Lake/Pond: Hydrographic Category = Perennial;Perennial;85118.3699196367;1223.18818290592;Yes
1851;27687778;27687778;0.009;1,81E+13;390;39001;3714;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;98011.337237253;1224.49440297702;Yes
1582;27559587;27559587;0.007;1,81E+13;390;39001;3445;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;73598.2129402555;1238.24940701378;Yes
1156;27693244;27693244;0.009;1,81E+13;390;39004;3019;Lake/Pond: Hydrographic Category = Perennial;Perennial;94561.534697233;1245.26594015577;Yes
1570;27684808;27684808;0.006;1,81E+13;390;39001;3433;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;59819.2548541556;1245.37190480788;Yes
1823;27687740;27687740;0.01;1,81E+13;390;39001;3686;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;109545.589624459;1250.90333241924;Yes
