OBJECTID;X;Y;Name;post_id;latitude;longitude;POINT_X;POINT_Y
157210297;-118.55453105612682;34.237503466778371;Northridge Fashion Center Shopping Center;24050;34.2375035;-118.554531;6394068.94041647;1909274.6482624
157210298;-118.558697955578666;34.241947766490902;Northridge Pavilion Shopping Center;24051;34.2419478;-118.5586979;6392818.53970206;1910898.95833398
157210299;-118.560642156006153;34.228892666198234;Northridge Plaza Shopping Center;24052;34.2288927;-118.5606421;6392204.46350239;1906151.31658256
157210300;-118.367017256034146;33.769461067291815;Town And Country Shopping Center;24054;33.7694611;-118.3670172;6450120.8552153;1738685.32671206
157210301;-118.354240255721109;33.836126767215454;Village Del Amo Shopping Center;24055;33.8361268;-118.3542402;6454089.72063714;1762932.70899148
157210302;-118.572030656272517;34.200560066160847;Sherman Plaza Shopping Center;24057;34.2005601;-118.5720306;6388703.41013706;1895860.1337529
157210303;-118.604531056247367;34.18056056678595;The Promenade At Woodland Hills Shopping Center;24058;34.1805606;-118.604531;6378832.49254297;1888639.59996565
157210304;-118.603975755645848;34.190560366417138;Topanga Plaza Shopping Center;24059;34.1905604;-118.6039757;6379022.30482739;1892277.63271581
157210305;-118.552864255662271;34.234725766568459;Walnut Grove Shopping Center;24060;34.2347258;-118.5528642;6394567.14906572;1908261.03316364
157210306;-118.604808655297603;34.169171966051586;Warner Plaza Shopping Center;24061;34.169172;-118.6048086;6378723.59774764;1884495.66173123
157210307;-118.588974855271658;34.167227466857547;Woodland Hills Village Plaza Shopping Center;24062;34.1672275;-118.5889748;6383508.91429247;1883759.59430572
157210308;-118.758701255236915;34.152783066299797;Agoura Meadows Shopping Center;24063;34.1527831;-118.7587012;6332128.86646222;1878847.33838223
157210311;-118.643976055119083;34.1561165660816;Parkway Calabasas Shopping Center;24067;34.1561166;-118.643976;6366845.68810456;1879818.25638789
157210312;-118.641476655438794;34.188338066142805;Platt Village Shopping Center;24068;34.1883381;-118.6414766;6367676.66282055;1891539.17126623
157210314;-118.755089755077691;34.14389436621201;Whizins Mall Shopping Center;24070;34.1438944;-118.7550897;6333197.18880063;1875604.4416528
157210316;-118.334520355956073;34.016679066869195;Crenshaw Square Shopping Center;24072;34.0166791;-118.3345203;6460297.18197547;1828618.90209389
157210317;-118.394524655709574;34.181394366424016;Laurel Plaza Shopping Center;24073;34.1813944;-118.3945246;6442348.81465705;1888627.38870397
